obj_id,object_name,source,label,label_source,period,duration,depth,stellar_radius,stellar_mass,stellar_mag
400323948,400323948,TOI,0.0,FP,3.2242808,4.3100077,868.6214414,2.62415,0.974,11.0897
400381085,400381085,TOI,1.0,PC,3.7539574,2.544,9040.0,1.5,0.974,12.4064
400395395,400395395,TOI,0.0,FP,3.2891219,2.948,8100.0,1.64,0.974,12.4564
400430915,400430915,TOI,1.0,PC,2.1863095,3.9576915,2983.552582,1.92153,0.974,12.6557
400432230,400432230,TOI,1.0,PC,3.1833919,2.017,9850.0,1.39,0.974,11.5787
400466395,400466395,TOI,0.0,FP,5.1391542,0.633,6171.0,1.0,0.974,12.2479
400476523,400476523,TOI,0.0,FP,18.10671,4.562,10340.0,1.65,0.974,12.2339
400491269,400491269,TOI,1.0,PC,23.136755,7.179,2514.0,2.04,0.974,11.2405
400503123,400503123,TOI,1.0,PC,1.5016329,1.894,3134.0,1.84,0.974,10.6796
400515645,400515645,TOI,1.0,PC,1.6757659,2.248,2580.0,1.53,0.974,12.8173
400595342,400595342,TOI,0.0,FP,3.6404389,2.5339234,476.3077321,1.60776,0.974,9.8174
400683848,400683848,TOI,1.0,PC,1.0886286,2.4298631,412.1764427,4.2160501,0.974,10.7492
400712525,400712525,TOI,1.0,PC,1.8923031,1.956,4800.0,1.077,0.974,12.4163
400762242,400762242,TOI,1.0,PC,1.6224281,2.013,1250.0,1.98,0.974,11.9236
400786146,400786146,TOI,0.0,FP,22.1536777,7.5893785,4469.319877,1.6267,0.974,10.7716
40083958,40083958,TOI,1.0,APC,0.6296,0.309,790.0,0.77,0.974,10.9994
400899926,400899926,TOI,1.0,PC,4.625568,3.645,9810.0,1.34,0.974,12.804
40093986,40093986,TOI,1.0,PC,2.5918359,3.933,6221.0,2.08,0.974,13.4184
400968492,400968492,TOI,1.0,PC,11.1860909,5.989,4416.0,1.69,0.974,12.2525
400972123,400972123,TOI,1.0,PC,1.8868756,2.393,368.0,2.57,0.974,9.7741
401028336,401028336,TOI,1.0,PC,1.7819156,2.748,12020.0,1.58,0.974,12.4171
401283491,401283491,TOI,1.0,PC,3.4677103,2.234,10000.0,1.18,0.974,13.2727
401509690,401509690,TOI,1.0,PC,5.8009082,3.175,5130.0,1.05,0.974,12.5787
401704685,401704685,TOI,1.0,PC,4.2100055,2.653,7990.0,1.42,0.974,12.7372
401952328,401952328,TOI,1.0,PC,9.1509453,3.522,3110.0,1.077,0.974,10.7188
401980624,401980624,TOI,1.0,PC,3.2751914,2.439,827.0,1.03,0.974,10.4286
402026209,402026209,TOI,1.0,KP,1.3382314,2.1560676,27137.09201,0.894974,0.974,11.8295
402027382,402027382,TOI,1.0,PC,3.1998039,1.816,3672.0,1.15,0.974,13.2874
402053027,402053027,TOI,1.0,PC,7.7971071,1.873,23150.0,1.47,0.974,13.2952
402219289,402219289,TOI,1.0,PC,2.1970052,2.966,7470.0,1.47,0.974,13.4326
402319411,402319411,TOI,1.0,PC,3.3262977,2.9439229,24223.62808,0.947585,0.974,12.9238
402391147,402391147,TOI,1.0,PC,3.3626798,3.771,11000.0,1.39,0.974,13.4138
402828941,402828941,TOI,1.0,PC,4.1509756,2.029,9780.0,1.04,0.974,12.1444
402848417,402848417,TOI,1.0,PC,28.4664618,5.958,4267.0,1.54,0.974,12.2041
402898317,402898317,TOI,1.0,PC,53.8108713,4.2655099,965.1696621,0.730261,0.974,10.6699
402992891,402992891,TOI,1.0,PC,17.3986129,3.485,2584.0,0.8,0.974,11.0144
403135192,403135192,TOI,1.0,PC,0.9017685,0.635,958.0,1.36,0.974,9.6968
403136413,403136413,TOI,0.0,FP,2.51266,2.411,2790.01,2.3,0.974,11.2314
403136415,403136415,TOI,1.0,PC,2.5128483,2.5536063,18573.96556,0.924044,0.974,13.0934
403256331,403256331,TOI,0.0,FP,3.77188,2.923,450.0,4.62,0.974,9.5425
403287048,403287048,TOI,0.0,FP,7.00776,2.68,3666.99,1.22,0.974,11.3569
403288821,403288821,TOI,0.0,FP,0.5474737,1.789,1430.0,2.84,0.974,12.4978
403308915,403308915,TOI,0.0,FP,3.7543552,1.878,470.0,1.75,0.974,10.1731
403340402,403340402,TOI,1.0,PC,2.2237067,2.7337946,4640.047689,1.4399,0.974,11.5625
403347341,403347341,TOI,1.0,PC,6.397886,2.296,9792.0,1.077,0.974,12.4316
403368444,403368444,TOI,1.0,PC,6.5568726,2.755,8511.0,1.36,0.974,12.1404
403405969,403405969,TOI,1.0,PC,12.975062,6.124,6210.0,1.5,0.974,13.2565
403507814,403507814,TOI,1.0,PC,2.7812908,3.208,11930.0,1.63,0.974,12.2587
4035640,K01881.01,KOI,1.0,CONFIRMED,28.26727385,4.5839,1160.0,0.886,0.82,14.907
4035667,K02684.01,KOI,0.0,FALSE POSITIVE,2.8736467,1.682,216.0,3.169,2.032,10.035
4035675,K06107.01,KOI,0.0,FALSE POSITIVE,2.873657901,2.1054,43900.0,2.287,1.288,12.702
403693870,403693870,TOI,1.0,PC,3.5245689,3.150024,20956.94783,1.17724,0.974,13.1378
403693875,403693875,TOI,0.0,FP,3.5248693,3.1475424,24987.79925,0.613,0.974,13.3675
4037163,K03793.01,KOI,0.0,FALSE POSITIVE,0.635441862,1.9827,148000.0,1.0,1.0,16.675
4037164,K01184.01,KOI,0.0,FALSE POSITIVE,0.635445336,1.8592,2550.0,0.55,0.554,15.432
4037428,K05993.01,KOI,0.0,FALSE POSITIVE,4.264729569,2.2075,22700.0,1.417,0.887,12.873
403911354,403911354,TOI,1.0,PC,4.4814049,1.689,10170.0,1.37,0.974,12.6738
4042026,K01180.01,KOI,0.0,FALSE POSITIVE,34.82008158,11.1711,18800.0,0.784,0.746,15.187
4042088,K06378.01,KOI,0.0,FALSE POSITIVE,3.22598684,1.67,1490.0,1.077,0.974,13.43
404227343,404227343,TOI,1.0,PC,3.4975869,1.734,4500.0,1.69,0.974,12.1004
404243877,404243877,TOI,1.0,KP,3.2047072,3.331,7448.0,1.077,0.974,13.1749
4043190,K01220.01,KOI,1.0,CONFIRMED,6.40087137,2.5561,134.0,1.421,0.943,12.988
404340025,404340025,TOI,1.0,KP,2.6755521,3.2277336,14340.99086,1.3441499,0.974,10.7036
4043443,K00231.01,KOI,0.0,FALSE POSITIVE,119.8401019,3.6796,5450.0,0.675,0.733,14.945
4044005,K00969.01,KOI,0.0,FALSE POSITIVE,17.51201477,1.8248,4510.0,1.132,0.998,12.336
404421005,404421005,TOI,1.0,KP,6.32668,2.0310601,520.8002154,0.975383,0.974,9.66562
404456775,404456775,TOI,1.0,PC,3.0444485,0.916,30036.0,0.47,0.974,14.5372
404467699,404467699,TOI,1.0,KP,3.9080236,3.292,8100.0,1.63,0.974,10.2676
404488903,404488903,TOI,1.0,PC,3.9921399,3.299,9866.0,1.38,0.974,13.3616
404506270,404506270,TOI,1.0,PC,15.5014296,1.663,90070.0,0.36,0.974,14.8743
404516402,404516402,TOI,1.0,PC,2.3107907,1.963,18595.0,0.86,0.974,12.8119
404610583,404610583,TOI,0.0,FP,3.5381039,2.441937,11844.65348,1.0424401,0.974,10.5332
40466976,40466976,TOI,1.0,PC,32.535016,3.67,3821.0,1.077,0.974,7.3664
404713783,404713783,TOI,1.0,PC,15.0758735,3.502,645.0,1.01,0.974,10.1448
404715325,404715325,TOI,1.0,PC,17.2367433,5.529651,946.1500622,1.1687,0.974,11.0921
